rikishi1_rank_name,rikishi1_rank_level,rikishi1_hth_wins,rikishi2_rank_name,rikishi2_rank_level,rikishi2_hth_wins,y
M,16,1,M,16,1,yes
M,15,0,M,15,0,yes
M,14,1,M,14,2,no
M,13,1,M,13,3,yes
M,12,1,M,12,2,yes
M,11,2,M,11,4,no
M,10,3,M,10,1,yes
M,9,0,M,9,0,no
M,8,0,M,8,0,no
M,7,0,M,7,0,yes
M,6,6,M,5,4,no
M,6,0,M,5,1,yes
M,4,2,M,4,0,yes
S,1,0,M,3,0,yes
M,3,0,S,1,2,no
O,3,8,M,2,2,yes
O,2,2,M,2,2,yes
M,1,14,O,2,13,no
O,1,9,M,1,11,no
K,1,5,O,1,9,no
K,1,0,Y,1,1,no
M,15,0,M,16,0,yes
M,16,0,M,15,0,yes
M,14,0,M,13,0,no
M,14,1,M,13,1,no
M,11,0,M,12,0,yes
M,12,2,M,11,1,no
M,10,0,M,9,1,yes
M,10,0,M,9,1,yes
M,8,1,M,7,9,yes
M,8,1,M,7,2,yes
M,6,4,M,6,5,yes
M,4,3,M,5,3,no
M,4,0,M,5,0,yes
M,3,1,M,3,1,no
S,1,8,M,2,3,yes
O,1,2,M,2,1,yes
M,1,12,O,3,17,no
O,2,23,S,1,7,yes
K,1,5,O,2,21,no
K,1,0,O,1,1,no
Y,1,11,M,1,1,yes
M,15,2,M,16,0,yes
M,16,0,M,14,1,no
M,14,0,M,15,1,no
M,12,3,M,13,1,no
M,11,1,M,12,0,yes
M,11,0,M,13,0,no
M,9,0,M,10,3,no
M,10,4,M,9,3,yes
M,8,0,M,7,0,yes
M,8,0,M,7,0,yes
M,6,6,M,5,4,no
M,6,0,M,5,0,no
M,3,0,M,4,5,yes
M,3,1,M,4,4,no
S,1,8,S,1,6,yes
O,1,3,M,2,1,yes
O,1,7,M,2,5,yes
K,1,4,O,3,15,no
K,1,0,O,2,1,no
M,1,5,O,2,12,no
M,1,3,Y,1,21,no
M,16,0,M,15,4,yes
M,14,3,M,16,0,yes
M,15,0,M,14,3,yes
M,13,0,M,12,0,no
M,10,0,M,13,0,no
M,12,0,M,10,3,no
M,11,0,M,9,2,no
M,11,2,M,9,5,no
