rikishi1_rank_name,rikishi2_rank_name,rikishi1_rank_level,rikishi2_rank_level,rikishi1_win_prc,rikishi2_win_prc,rikishi1_fusen,rikishi2_fusen,rikishi1_hth_wins,rikishi2_hth_wins,y
M,M,16,16,0.5,0.5,0,0,1,1,yes
M,M,15,15,0.5,0.5,0,0,0,0,yes
M,M,14,14,0.5,0.5,0,0,1,2,no
M,M,13,13,0.5,0.5,0,0,1,3,yes
M,M,12,12,0.5,0.5,0,0,1,2,yes
M,M,11,11,0.5,0.5,0,0,2,4,no
M,M,10,10,0.5,0.5,0,0,3,1,yes
M,M,9,9,0.5,0.5,0,0,0,0,no
M,M,8,8,0.5,0.5,0,0,0,0,no
M,M,7,7,0.5,0.5,0,0,0,0,yes
M,M,6,5,0.5,0.5,0,0,6,4,no
M,M,6,5,0.5,0.5,0,0,0,1,yes
M,M,4,4,0.5,0.5,0,0,2,0,yes
S,M,1,3,0.5,0.5,0,0,0,0,yes
M,S,3,1,0.5,0.5,0,0,0,2,no
O,M,3,2,0.5,0.5,0,0,8,2,yes
O,M,2,2,0.5,0.5,0,0,2,2,yes
M,O,1,2,0.5,0.5,0,0,14,13,no
O,M,1,1,0.5,0.5,0,0,9,11,no
K,O,1,1,0.5,0.5,0,0,5,9,no
K,Y,1,1,0.5,0.5,0,0,0,1,no
M,M,15,16,1,1,0,0,0,0,yes
M,M,16,15,0,0,0,0,0,0,yes
M,M,14,13,1,1,0,0,0,0,no
M,M,14,13,0,0,0,0,1,1,no
M,M,11,12,1,0,0,0,0,0,yes
M,M,12,11,1,0,0,0,2,1,no
M,M,10,9,0,1,0,0,0,1,yes
M,M,10,9,1,0,0,0,0,1,yes
M,M,8,7,0,1,0,0,1,9,yes
M,M,8,7,1,0,0,0,1,2,yes
M,M,6,6,0,1,0,0,4,5,yes
M,M,4,5,1,1,0,0,3,3,no
M,M,4,5,0,0,0,0,0,0,yes
M,M,3,3,0,0,0,0,1,1,no
S,M,1,2,1,0,0,0,8,3,yes
O,M,1,2,1,0,0,0,2,1,yes
M,O,1,3,0,1,0,0,12,17,no
O,S,2,1,1,1,0,0,23,7,yes
K,O,1,2,0,1,0,0,5,21,no
K,O,1,1,0,0,0,0,0,1,no
Y,M,1,1,1,1,0,0,11,1,yes
M,M,15,16,1,0.5,0,0,2,0,yes
M,M,16,14,0.5,0.5,0,0,0,1,no
M,M,14,15,0,0,0,0,0,1,no
M,M,12,13,0.5,0.5,0,0,3,1,no
M,M,11,12,0.5,0,0,0,1,0,yes
M,M,11,13,1,1,0,0,0,0,no
M,M,9,10,0,0.5,0,0,0,3,no
M,M,10,9,1,0.5,0,0,4,3,yes
M,M,8,7,0.5,0,0,0,0,0,yes
M,M,8,7,1,0.5,0,0,0,0,yes
M,M,6,5,0.5,1,0,0,6,4,no
M,M,6,5,0.5,0,0,0,0,0,no
M,M,3,4,0.5,0.5,0,0,0,5,yes
M,M,3,4,0,0.5,0,0,1,4,no
S,S,1,1,1,0.5,0,0,8,6,yes
O,M,1,2,0.5,0,0,0,3,1,yes
O,M,1,2,1,0,0,0,7,5,yes
K,O,1,3,0,1,0,0,4,15,no
K,O,1,2,0,1,0,0,0,1,no
M,O,1,2,0.5,1,0,0,5,12,no
M,Y,1,1,0,1,0,0,3,21,no
M,M,16,15,0.3333333333333333,0.3333333333333333,0,0,0,4,yes
M,M,14,16,0,0.3333333333333333,0,0,3,0,yes
M,M,15,14,1,0.6666666666666666,0,0,0,3,yes
M,M,13,12,1,0,0,0,0,0,no
M,M,10,13,1,0.6666666666666666,0,0,0,0,no
M,M,12,10,0.3333333333333333,0.6666666666666666,0,0,0,3,no
M,M,11,9,0.6666666666666666,0.3333333333333333,0,0,0,2,no
M,M,11,9,0.6666666666666666,0,0,0,2,5,no
M,M,6,8,0.3333333333333333,0.6666666666666666,0,0,5,7,no
M,M,6,8,0.3333333333333333,1,0,0,0,0,yes
M,M,5,7,0.3333333333333333,0,0,0,2,1,yes
M,M,5,7,1,0.3333333333333333,0,0,2,2,no
M,M,3,4,0,0.3333333333333333,0,0,1,3,no
M,M,4,3,0.6666666666666666,0.6666666666666666,0,0,1,0,no
K,S,1,1,0,1,0,0,2,5,no
O,M,2,2,1,0,0,0,10,3,yes
M,O,1,1,0,0.6666666666666666,0,0,11,20,yes
K,O,1,1,0,1,0,0,0,2,no
S,O,1,3,0.3333333333333333,1,0,0,6,19,yes
O,M,2,1,1,0.3333333333333333,0,0,14,3,yes
Y,M,1,2,1,0,0,0,4,0,yes
M,M,14,16,0.5,0.25,0,0,1,1,yes
M,M,15,13,1,0.75,0,0,0,0,no
M,M,16,13,0.5,0.75,0,0,3,0,no
M,M,12,14,0.25,0.25,0,0,4,2,no
M,M,11,15,0.5,0.25,0,0,0,0,yes
M,M,10,12,0.75,0.25,0,0,4,2,yes
M,M,10,11,0.75,0.5,0,0,0,0,no
M,M,9,8,0.5,0.75,0,0,1,2,yes
M,M,9,7,0.25,0.5,0,0,0,1,no
M,M,6,8,0.5,0.75,0,0,7,3,yes
M,M,6,7,0.25,0,0,0,0,0,yes
M,M,5,4,0.75,0.5,0,0,2,2,yes
M,M,4,5,0.5,0.5,0,0,0,0,no
M,M,1,3,0.25,0.75,0,0,2,0,yes
K,S,1,1,0,0.5,0,0,0,2,no
M,O,3,2,0,1,0,0,0,3,no
O,M,2,2,1,0,0,0,1,3,yes
O,M,1,2,0.5,0,0,0,7,8,no
M,O,1,1,0.25,1,0,0,3,5,no
S,O,1,3,1,0.75,0,0,7,14,no
K,Y,1,1,0,1,0,0,4,23,no
M,M,14,15,0.6,0.2,0,0,0,0,no
M,M,16,13,0.4,0.8,0,0,2,2,no
M,M,12,16,0.2,0.2,0,0,0,1,no
M,M,15,12,0.8,0.2,0,0,3,3,no
M,M,14,11,0.4,0.6,0,0,1,2,no
M,M,10,13,0.8,0.8,0,0,0,0,no
